t_s,wp_idx,x,y
90.28113317489624,0,4.5,42.0
90.28113317489624,1,4.5,41.5
90.28113317489624,2,4.5,41.0
90.28113317489624,3,4.5,40.5
90.28113317489624,4,4.5,40.0
90.28113317489624,5,4.5,39.5
90.28113317489624,6,4.5,39.0
90.28113317489624,7,4.5,38.5
90.28113317489624,8,4.5,38.0
90.28113317489624,9,4.5,37.5
90.28113317489624,10,4.5,37.0
90.28113317489624,11,4.5,36.5
90.28113317489624,12,4.5,36.0
90.28113317489624,13,4.5,35.5
90.28113317489624,14,4.5,35.0
90.28113317489624,15,4.5,34.5
90.28113317489624,16,4.5,34.0
90.28113317489624,17,4.5,33.5
90.28113317489624,18,4.5,33.0
90.28113317489624,19,4.5,32.5
90.28113317489624,20,4.5,32.0
90.28113317489624,21,4.5,31.5
90.28113317489624,22,4.5,31.0
90.28113317489624,23,4.5,30.5
90.28113317489624,24,4.5,30.0
90.28113317489624,25,4.5,29.5
90.28113317489624,26,4.5,29.0
90.28113317489624,27,4.5,28.5
90.28113317489624,28,4.5,28.0
90.28113317489624,29,4.5,27.5
90.28113317489624,30,4.5,27.0
90.28113317489624,31,5.0,27.0
90.28113317489624,32,5.5,27.0
90.28113317489624,33,6.0,27.0
90.28113317489624,34,6.5,27.0
90.28113317489624,35,7.0,27.0
90.28113317489624,36,7.5,27.0
90.28113317489624,37,8.0,27.0
90.28113317489624,38,8.5,27.0
90.28113317489624,39,9.0,27.0
90.28113317489624,40,9.5,27.0
90.28113317489624,41,10.0,27.0
90.28113317489624,42,10.5,27.0
90.28113317489624,43,11.0,27.0
90.28113317489624,44,11.5,27.0
90.28113317489624,45,12.0,27.0
90.28113317489624,46,12.5,27.0
90.28113317489624,47,13.0,27.0
90.28113317489624,48,13.5,27.0
90.28113317489624,49,14.0,27.0
90.28113317489624,50,14.5,27.0
90.28113317489624,51,15.0,27.0
90.28113317489624,52,15.5,27.0
90.28113317489624,53,16.0,27.0
90.28113317489624,54,16.5,27.0
90.28113317489624,55,17.0,27.0
90.28113317489624,56,17.5,27.0
90.28113317489624,57,18.0,27.0
90.28113317489624,58,18.5,27.0
90.28113317489624,59,18.5,26.5
90.28113317489624,60,18.5,26.0
90.28113317489624,61,18.5,25.5
90.28113317489624,62,18.5,25.0
90.28113317489624,63,18.5,24.5
90.28113317489624,64,18.5,24.0
90.28113317489624,65,18.5,23.5
90.28113317489624,66,18.5,23.0
90.28113317489624,67,18.5,22.5
90.28113317489624,68,18.5,22.0
90.28113317489624,69,18.5,21.5
90.28113317489624,70,18.5,21.0
90.28113317489624,71,18.5,20.5
90.28113317489624,72,18.5,20.0
90.28113317489624,73,18.5,19.5
90.28113317489624,74,18.5,19.0
90.28113317489624,75,18.5,18.5
90.28113317489624,76,18.5,18.0
90.28113317489624,77,18.5,17.5
90.28113317489624,78,18.5,17.0
90.28113317489624,79,18.5,16.5
90.28113317489624,80,18.5,16.0
90.28113317489624,81,18.5,15.5
90.28113317489624,82,18.5,15.0
90.28113317489624,83,18.5,14.5
90.28113317489624,84,18.5,14.0
90.28113317489624,85,18.5,13.5
90.28113317489624,86,18.5,13.0
90.28113317489624,87,18.5,12.5
90.28113317489624,88,18.5,12.0
90.28113317489624,89,19.0,12.0
90.28113317489624,90,19.5,12.0
90.28113317489624,91,20.0,12.0
90.28113317489624,92,20.5,12.0
90.28113317489624,93,21.0,12.0
90.28113317489624,94,21.5,12.0
