t_s,gx,gy,value
85.06885099411011,0,62,0
85.06885099411011,1,62,0
85.06885099411011,2,62,0
85.06885099411011,3,62,0
85.06885099411011,4,62,0
85.06885099411011,5,62,0
85.06885099411011,6,62,0
85.06885099411011,7,62,0
85.06885099411011,8,62,0
85.06885099411011,9,62,0
85.06885099411011,10,62,0
85.06885099411011,11,62,0
85.06885099411011,12,62,0
85.06885099411011,13,62,0
85.06885099411011,14,62,0
85.06885099411011,15,62,0
85.06885099411011,16,62,0
85.06885099411011,17,62,0
85.06885099411011,18,62,0
85.06885099411011,19,62,0
85.06885099411011,20,62,0
85.06885099411011,21,62,0
85.06885099411011,0,63,0
85.06885099411011,1,63,0
85.06885099411011,2,63,0
85.06885099411011,3,63,0
85.06885099411011,4,63,0
85.06885099411011,5,63,0
85.06885099411011,6,63,0
85.06885099411011,7,63,0
85.06885099411011,8,63,0
85.06885099411011,9,63,0
85.06885099411011,10,63,0
85.06885099411011,11,63,0
85.06885099411011,12,63,0
85.06885099411011,13,63,0
85.06885099411011,14,63,0
85.06885099411011,15,63,0
85.06885099411011,16,63,0
85.06885099411011,17,63,0
85.06885099411011,18,63,0
85.06885099411011,19,63,0
85.06885099411011,20,63,0
85.06885099411011,21,63,0
85.06885099411011,22,63,0
85.06885099411011,23,63,0
85.06885099411011,0,64,0
85.06885099411011,1,64,0
85.06885099411011,2,64,0
85.06885099411011,3,64,0
85.06885099411011,4,64,0
85.06885099411011,5,64,0
85.06885099411011,6,64,0
85.06885099411011,7,64,0
85.06885099411011,8,64,0
85.06885099411011,9,64,0
85.06885099411011,10,64,0
85.06885099411011,11,64,0
85.06885099411011,12,64,0
85.06885099411011,13,64,0
85.06885099411011,14,64,0
85.06885099411011,15,64,0
85.06885099411011,16,64,0
85.06885099411011,17,64,0
85.06885099411011,18,64,0
85.06885099411011,19,64,0
85.06885099411011,20,64,0
85.06885099411011,21,64,0
85.06885099411011,22,64,0
85.06885099411011,23,64,0
85.06885099411011,24,64,0
85.06885099411011,0,65,0
85.06885099411011,1,65,0
85.06885099411011,2,65,0
85.06885099411011,3,65,0
85.06885099411011,4,65,0
85.06885099411011,5,65,0
85.06885099411011,6,65,0
85.06885099411011,7,65,0
85.06885099411011,8,65,0
85.06885099411011,9,65,0
85.06885099411011,10,65,0
85.06885099411011,11,65,0
85.06885099411011,12,65,0
85.06885099411011,13,65,0
85.06885099411011,14,65,0
85.06885099411011,15,65,0
85.06885099411011,16,65,0
85.06885099411011,17,65,0
85.06885099411011,18,65,0
85.06885099411011,19,65,0
85.06885099411011,20,65,0
85.06885099411011,21,65,0
85.06885099411011,22,65,0
85.06885099411011,23,65,0
85.06885099411011,24,65,0
85.06885099411011,25,65,0
85.06885099411011,0,66,0
85.06885099411011,1,66,0
85.06885099411011,2,66,0
85.06885099411011,3,66,0
85.06885099411011,4,66,0
85.06885099411011,5,66,0
85.06885099411011,6,66,0
85.06885099411011,7,66,0
85.06885099411011,8,66,0
85.06885099411011,9,66,0
85.06885099411011,10,66,0
85.06885099411011,11,66,0
85.06885099411011,12,66,0
85.06885099411011,13,66,0
85.06885099411011,14,66,0
85.06885099411011,15,66,100
85.06885099411011,16,66,100
85.06885099411011,17,66,100
85.06885099411011,18,66,100
85.06885099411011,19,66,100
85.06885099411011,20,66,100
85.06885099411011,21,66,0
85.06885099411011,22,66,0
85.06885099411011,23,66,0
85.06885099411011,24,66,0
85.06885099411011,25,66,0
85.06885099411011,26,66,0
85.06885099411011,0,67,0
85.06885099411011,1,67,0
85.06885099411011,2,67,0
85.06885099411011,3,67,0
85.06885099411011,4,67,0
85.06885099411011,5,67,0
85.06885099411011,6,67,0
85.06885099411011,7,67,0
85.06885099411011,8,67,0
85.06885099411011,9,67,0
85.06885099411011,10,67,0
85.06885099411011,11,67,0
85.06885099411011,12,67,0
85.06885099411011,13,67,0
85.06885099411011,14,67,0
85.06885099411011,15,67,100
85.06885099411011,16,67,100
85.06885099411011,17,67,100
85.06885099411011,18,67,100
85.06885099411011,19,67,100
85.06885099411011,20,67,100
85.06885099411011,21,67,0
85.06885099411011,22,67,0
85.06885099411011,23,67,0
85.06885099411011,24,67,0
85.06885099411011,25,67,0
85.06885099411011,26,67,0
85.06885099411011,0,68,0
85.06885099411011,1,68,0
85.06885099411011,2,68,0
85.06885099411011,3,68,0
85.06885099411011,4,68,0
85.06885099411011,5,68,0
85.06885099411011,6,68,0
85.06885099411011,7,68,0
85.06885099411011,8,68,0
85.06885099411011,9,68,0
85.06885099411011,10,68,0
85.06885099411011,11,68,0
85.06885099411011,12,68,0
85.06885099411011,13,68,0
85.06885099411011,14,68,0
85.06885099411011,15,68,100
85.06885099411011,16,68,100
85.06885099411011,17,68,100
85.06885099411011,18,68,100
85.06885099411011,19,68,100
85.06885099411011,20,68,100
85.06885099411011,21,68,0
85.06885099411011,22,68,0
85.06885099411011,23,68,0
85.06885099411011,24,68,0
85.06885099411011,25,68,0
85.06885099411011,26,68,0
85.06885099411011,0,69,0
85.06885099411011,1,69,0
85.06885099411011,2,69,0
85.06885099411011,3,69,0
85.06885099411011,4,69,0
85.06885099411011,5,69,0
85.06885099411011,6,69,0
85.06885099411011,7,69,0
85.06885099411011,8,69,0
85.06885099411011,9,69,0
