t_s,drone_x,drone_y,dx,dy,color
22.223029375076294,3.2014655260145664,37.93980127200484,1,1,unknown
22.223029375076294,3.2014655260145664,37.93980127200484,1,0,unknown
22.223029375076294,3.2014655260145664,37.93980127200484,1,-1,unknown
22.223029375076294,3.2014655260145664,37.93980127200484,0,1,unknown
22.223029375076294,3.2014655260145664,37.93980127200484,0,0,unknown
22.223029375076294,3.2014655260145664,37.93980127200484,0,-1,unknown
22.223029375076294,3.2014655260145664,37.93980127200484,-1,1,unknown
22.223029375076294,3.2014655260145664,37.93980127200484,-1,0,unknown
22.223029375076294,3.2014655260145664,37.93980127200484,-1,-1,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,1,1,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,1,0,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,1,-1,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,0,1,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,0,0,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,0,-1,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,-1,1,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,-1,0,unknown
22.323896646499634,3.2014655260145664,37.93980127200484,-1,-1,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,1,1,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,1,0,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,1,-1,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,0,1,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,0,0,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,0,-1,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,-1,1,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,-1,0,unknown
22.505847692489624,3.2023930115401744,37.94174612313509,-1,-1,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,1,1,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,1,0,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,1,-1,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,0,1,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,0,0,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,0,-1,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,-1,1,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,-1,0,unknown
22.52074670791626,3.2023930115401744,37.94174612313509,-1,-1,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,1,1,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,1,0,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,1,-1,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,0,1,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,0,0,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,0,-1,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,-1,1,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,-1,0,unknown
22.619386911392212,3.2032652659118175,37.943423461169004,-1,-1,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,1,1,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,1,0,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,1,-1,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,0,1,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,0,0,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,0,-1,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,-1,1,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,-1,0,unknown
22.801559686660767,3.2041731526851653,37.94585771486163,-1,-1,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,1,1,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,1,0,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,1,-1,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,0,1,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,0,0,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,0,-1,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,-1,1,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,-1,0,unknown
22.818074226379395,3.2041731526851653,37.94585771486163,-1,-1,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,1,1,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,1,0,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,1,-1,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,0,1,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,0,0,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,0,-1,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,-1,1,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,-1,0,unknown
22.888906717300415,3.2041731526851653,37.94585771486163,-1,-1,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,1,1,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,1,0,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,1,-1,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,0,1,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,0,0,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,0,-1,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,-1,1,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,-1,0,unknown
23.22282314300537,3.2040681069493293,37.94782593101263,-1,-1,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,1,1,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,1,0,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,1,-1,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,0,1,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,0,0,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,0,-1,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,-1,1,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,-1,0,unknown
23.23678708076477,3.2040681069493293,37.94782593101263,-1,-1,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,1,1,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,1,0,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,1,-1,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,0,1,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,0,0,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,0,-1,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,-1,1,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,-1,0,unknown
23.250213623046875,3.2040681069493293,37.94782593101263,-1,-1,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,1,1,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,1,0,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,1,-1,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,0,1,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,0,0,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,0,-1,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,-1,1,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,-1,0,unknown
23.331387996673584,3.2040681069493293,37.94782593101263,-1,-1,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,1,1,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,1,0,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,1,-1,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,0,1,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,0,0,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,0,-1,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,-1,1,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,-1,0,unknown
23.457860469818115,3.2040591960549354,37.948623079806566,-1,-1,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,1,1,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,1,0,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,1,-1,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,0,1,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,0,0,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,0,-1,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,-1,1,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,-1,0,unknown
23.556278705596924,3.2040591960549354,37.948623079806566,-1,-1,unknown
23.678091049194336,3.2042803739905357,37.949820432811975,1,1,unknown
23.678091049194336,3.2042803739905357,37.949820432811975,1,0,unknown
23.678091049194336,3.2042803739905357,37.949820432811975,1,-1,unknown
23.678091049194336,3.2042803739905357,37.949820432811975,0,1,unknown
23.678091049194336,3.2042803739905357,37.949820432811975,0,0,unknown
23.678091049194336,3.2042803739905357,37.949820432811975,0,-1,unknown
