t_s,x,y,z
19.43744468688965,3.2041892682909965,37.96337553486228,-0.00412595272064209
19.63207721710205,3.2045099822580814,37.9640136398375,-0.004519343376159668
19.832502365112305,3.205513012945652,37.96603664383292,-0.00595247745513916
20.03292202949524,3.2063769636452197,37.96809099242091,-0.007502198219299316
20.231776475906372,3.206751938328147,37.969221621751785,-0.008313536643981934
20.433065176010132,3.207358458429575,37.971957482397556,-0.010149002075195312
20.63273048400879,3.2074188416600227,37.97305454686284,-0.010696768760681152
20.835193395614624,3.207200368285179,37.975119246169925,-0.011454582214355469
21.03183674812317,3.2069651106148958,37.97617711126804,-0.011703014373779297
21.23177742958069,3.2061242548525333,37.97853515483439,-0.011858940124511719
21.43116307258606,3.205354662030935,37.98067327402532,-0.011618733406066895
21.64017152786255,3.2049820920228957,37.98173348791897,-0.01141655445098877
21.83227300643921,3.204610032379627,37.98273771069944,-0.011173248291015625
22.030887603759766,3.203787912964821,37.984726529568434,-0.01054227352142334
22.233352422714233,3.20340271794796,37.985380079597235,-0.009858965873718262
22.431482076644897,3.2028155302405357,37.98665763158351,-0.008326530456542969
22.6339054107666,3.2022371155917644,37.987911231815815,-0.006582140922546387
22.833293914794922,3.2019568322002887,37.98849905375391,-0.005761623382568359
23.030467987060547,3.2015553427636623,37.98999170213938,-0.004074454307556152
23.233492374420166,3.2014647399783134,37.99089793302119,-0.003188490867614746
23.435100317001343,3.2014542830884456,37.991863743402064,-0.0023565292358398438
23.63503932952881,3.2015884978473186,37.99400318460539,-0.0006326436996459961
23.835104942321777,3.201686186134815,37.9948390936479,0.00010216236114501953
24.032285451889038,3.201736373245716,37.99562713038176,0.0008220672607421875
24.234036207199097,3.201684960514307,37.99702910822816,0.0022145509719848633
24.430997848510742,3.2016681892573833,37.99767606938258,0.00302731990814209
24.6313636302948,3.20165579149127,37.99795093643479,0.003618955612182617
24.83130979537964,3.201639601379633,37.998100726515986,0.004150748252868652
25.03484082221985,3.201601160109043,37.99809124798048,0.004641175270080566
25.24037504196167,3.2015761745870113,37.99797081109136,0.005030989646911621
25.438547372817993,3.201539860457182,37.99774796096608,0.005393266677856445
25.63801336288452,3.201405247092247,37.996921443380415,0.006123185157775879
25.844615936279297,3.2012135846316814,37.99584353622049,0.006412982940673828
26.030600786209106,3.2009883573055267,37.994685895275325,0.00670778751373291
26.231290340423584,3.200366502046585,37.991734277457,0.0074149370193481445
26.43024754524231,3.1991689478754997,37.98727136943489,0.007977128028869629
26.63283371925354,3.1983107490241527,37.98412837460637,0.00816798210144043
26.835676670074463,3.1975765799880027,37.98022282682359,0.00784158706665039
27.034590244293213,3.197285835981369,37.97855483554304,0.007657527923583984
27.234305143356323,3.196749651223421,37.97541416250169,0.007238984107971191
27.43347430229187,3.1967505080401897,37.97077673487365,0.005629181861877441
27.630041360855103,3.197044243454933,37.968085657805204,0.0042231082916259766
27.8313946723938,3.197677323013544,37.9637546017766,0.0013473033905029297
28.03309440612793,3.1980105986595153,37.96053283289075,-0.0009485483169555664
28.23351812362671,3.1981533257067203,37.959100890904665,-0.001961946487426758
28.434763431549072,3.1983715941905975,37.95633088052273,-0.0039157867431640625
28.630438327789307,3.1984661197066306,37.95260253921151,-0.006970882415771484
28.831560373306274,3.1972859924435615,37.950366251170635,-0.00865185260772705
29.030405044555664,3.1950752114653587,37.94963437318802,-0.009014248847961426
29.230903387069702,3.1900544402897357,37.94974222034216,-0.007910609245300293
29.430304050445557,3.1852497247755527,37.95038293674588,-0.005902409553527832
29.630549430847168,3.174326968729496,37.9526454731822,0.00010561943054199219
29.83292579650879,3.1595719208717346,37.955170303583145,0.009821414947509766
30.030738353729248,3.1420547043681144,37.958741296082735,0.03713095188140869
30.230173110961914,3.1267374133467674,37.962634447962046,0.06681060791015625
30.430582761764526,3.085689266562462,37.97182139568031,0.13789129257202148
30.630284547805786,3.0268190851211547,37.98086549527943,0.23755502700805664
30.833275079727173,2.9437619795799255,37.98806535638869,0.40007781982421875
31.03073024749756,2.856273358106613,37.988216986879706,0.6132981777191162
31.233057498931885,2.758910064935684,37.97782731615007,0.9100813865661621
31.438361644744873,2.701135729789734,37.964812740683556,1.1229650974273682
31.63031029701233,2.6148249258995055,37.931618481874466,1.5103905200958252
31.83124351501465,2.5684310545921325,37.90422914177179,1.7696599960327148
32.031476736068726,2.5103062143325805,37.856256917119026,2.1823337078094482
32.231980323791504,2.4649002900123596,37.79905021190643,2.658057928085327
32.43055438995361,2.4368782391548156,37.74221187829971,3.1516268253326416
32.63011336326599,2.4251591911315917,37.69786649942398,3.60903000831604
32.83009934425354,2.423327301979065,37.67502537369728,3.904846429824829
33.03099274635315,2.4273766627311706,37.65062949061394,4.353826522827148
33.23095917701721,2.4363581886291503,37.64188811182976,4.724531173706055
33.43067479133606,2.4500262489318847,37.64631429314613,5.07569694519043
33.630587100982666,2.4658643355369567,37.66102468967438,5.355765342712402
33.83033561706543,2.479788218975067,37.677806198596954,5.540311813354492
34.03529620170593,2.5008529176712035,37.706798285245895,5.755644798278809
34.230350494384766,2.5277700176239013,37.74423122406006,5.9554243087768555
34.43168258666992,2.5466617097854614,37.769360065460205,6.063507080078125
34.631542921066284,2.5785735597610473,37.80872531235218,6.207123756408691
34.83069467544556,2.605345224380493,37.83870202302933,6.302840232849121
35.03060173988342,2.644921516418457,37.87791854143143,6.417331695556641
35.231167793273926,2.692542468547821,37.917989417910576,6.527462959289551
35.43232321739197,2.740484898328781,37.95139058679342,6.61955451965332
35.63006615638733,2.7954177906513213,37.982853174209595,6.710455894470215
35.8302800655365,2.8483578016757964,38.00779113173485,6.78739070892334
36.03092932701111,2.9064276864528655,38.03065348789096,6.864516258239746
36.231916189193726,2.9415130665302276,38.04241520166397,6.9089460372924805
36.430166721343994,3.0140562554597854,38.06157669425011,6.996855735778809
36.630308866500854,3.0469360550642013,38.0679132938385,7.035722732543945
36.83038091659546,3.0978699823617935,38.07466149330139,7.096090316772461
37.030136823654175,3.141303328216076,38.07689745724201,7.1492109298706055
37.230276584625244,3.1810184022188186,38.075373597443104,7.1995649337768555
37.43000245094299,3.219949852094054,38.070710711181164,7.250663757324219
37.63046145439148,3.254108229070902,38.06408141553402,7.298684120178223
37.832621574401855,3.2810662662386894,38.056300070136786,7.340801239013672
38.03033208847046,3.2969015961289405,38.05038417503238,7.367702484130859
38.23065948486328,3.3189221670627593,38.04019099101424,7.409519195556641
38.432352781295776,3.336364847958088,38.03013307414949,7.449532508850098
38.63279390335083,3.3495071729421615,38.02120692655444,7.484360694885254
38.83134579658508,3.360190217733383,38.01325341220945,7.51657772064209
39.03131866455078,3.3697457959651946,38.00661866366863,7.548534393310547
39.235422134399414,3.374755789875984,38.003385989461094,7.566976547241211
39.4354932308197,3.3770725330114364,38.00200800737366,7.575960159301758
39.632548570632935,3.3820102562904357,37.999649564677384,7.595726013183594
39.83056688308716,3.3862816294431686,37.998317586490884,7.612730979919434
40.032872915267944,3.388414834976196,37.997835613554344,7.620983123779297
40.24040508270264,3.3905350914001464,37.99739580415189,7.6290082931518555
40.43434762954712,3.3951898416280746,37.996339534875005,7.646130561828613
40.63176941871643,3.397174512386322,37.99587007891387,7.653323173522949
40.84278726577759,3.399096821784973,37.99538746615872,7.660210609436035
41.031763315200806,3.4031674464941024,37.99433135567233,7.674642562866211
41.23337459564209,3.4048516055345535,37.99381787516177,7.680590629577637
41.432119369506836,3.408029233455658,37.99283295124769,7.691959381103516
41.634650230407715,3.40947488451004,37.99236931372434,7.69746208190918
